Tribe Full Name,Tribe,Tribe Alternate Name,Tribal Component,Salutation,First Name,Middle Name,Last Name,Suffix,aka,Job Title,Organization,BIA Region,BIA Agency,Address 1,Address 2,City,State,StateName,ZIPCode,Alaska,Phone,Fax,E-mail,Web Site,FEDEX Address 1,FEDEX Address 2,FEDEX City,FEDEX State,FEDEX ZipCode,Date Elected,Next Election,Directory,Notes,ANCSA Region,BLM Region,BOR Region,FWS Region,LCC,NPS Region,USGS Region,Latitude,Longitude,Modified
"Santa Rosa Indian Community of the Santa Rosa Rancheria, California",Santa Rosa,Santa Rosa Rancheria and/or Tachi Yokut Tribe,Tribe,,Ruben,,Barrios,,,Chairman,,Pacific,Central California Agency,P.O. Box 8,,Lemoore,CA,California,93245,No,(559) 924-1278,(559) 925-2931,,http://www.tachi-yokut-nsn.gov/,16835 Alkali Drive,,Lemoore,CA,93245,,,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,36.3007835,-119.7829107,2/23/2017 14:02
"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",Santa Ynez,Santa Ynez Reservation,Tribe,,Kenneth,,Khan,,,Chairman,,Pacific,Southern California Agency,P.O. Box 517,,Santa Ynez,CA,California,93460,No,(805) 688-7997,(805) 686-9578,info@sybmi.org,http://www.santaynezchumash.org,100 Via Juana Lane,,Santa Ynez,CA,93460,,,Tribal,Actual election date TBD.,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,34.6144313,-120.079868,2/23/2017 14:02
"Santee Sioux Nation, Nebraska",Santee Sioux,,Tribe,,Roger,,Trudell,,,Chairman,,Great Plains,Winnebago Agency,108 Spirit Lake Avenue West,,Niobrara,NE,Nebraska,68760-7219,No,(402) 857-2772,(402) 857-2779,rtrudell@santeedakota.org,http://www.santeedakota.org,SAME,,,,,11/4/2014,11/6/2018,Tribal,,,Wyoming,Great Plains,Region 6 - Mountain-Prairie,,Midwest,Midwest,42.836205,-97.8579099,2/23/2017 14:02
Sauk-Suiattle Indian Tribe,Sauk-Suiattle,,Tribe,,Benjamin,,Joseph,,,Chairman,,Northwest,Puget Sound Agency,5318 Chief Brown Lane,,Darrington,WA,Washington,98241-9421,No,(360) 436-0131,(360) 436-1511,chairman@sauk-suiattle.com,http://www.sauk-suiattle.com,SAME,,,,,1/1/2018,12/1/2018,Tribal,"Election is in December of each year, actual date varies.",,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,48.3212861,-121.5532259,1/16/2018 8:12
"Sault Ste. Marie Tribe of Chippewa Indians, Michigan",Sault Ste. Marie,,Tribe,,Aaron,,Payment,,,Chairperson,,Midwest,Michigan Agency,523 Ashmun Street,,Sault Ste. Marie,MI,Michigan,49783,No,(906) 635-6050,(906) 635-4969,aaronpayment@saulttribe.net,http://www.saulttribe.com,SAME,,,,,6/23/2016,6/1/2020,Tribal,.,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,46.4970532,-84.3480727,2/23/2017 14:02
Scotts Valley Band of Pomo Indians of California,Scotts Valley,Scotts Valley Rancheria,Tribe,,Shawn,,Davis,,,Chairman,,Pacific,Central California Agency,1005 Parallel Drive,,Lakeport,CA,California,95453,No,(707) 263-4220,(707) 263-4345,svpomo@svpomo.org,,SAME,,,,,,,Tribal,Actual election date TBD.,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,39.0347666,-122.9263504,6/23/2017 14:25
Seminole Tribe of Florida,Seminole,,Tribe,,Marcellus,,Osceola,Jr.,,Chairman,,Eastern,Seminole Agency,6300 Stirling Road,,Hollywood,FL,Florida,33024,No,(954) 966-6300 or (800) 683-7800,(954) 967-3463 ,Chairman@semtribe.com,http://www.seminoletribe.com,SAME,,,,,12/27/2016,5/11/2019,Tribal,,,Eastern States,,Region 4 - Southeast,Peninsular Florida,Southeast,Southeast,26.0455416,-80.2155898,3/6/2017 8:39
Seneca Nation of Indians,Seneca,,Tribe,,Todd,,Gates,,,President,,Eastern,Eastern Regional Office,12837 Route 438,,Irving,NY,New York,14081,No,(716) 532-4900,(716) 532-5443,Penny.kerr@sni.org,http://www.sni.org,12837 Route 438,,Irving,NY,14081,11/30/2016,11/30/2018,Tribal,,,Eastern States,,Region 5 - Northeast,,Northeast,Northeast,42.1578412,-78.7150311,2/23/2017 14:02
Seneca-Cayuga Nation,Seneca-Cayuga,,Tribe,,William,L.,Fisher,,,Chief,,Eastern Oklahoma,Miami Agency,23701 South 655 Road,,Grove,OK,Oklahoma,74344,No,(918) 787-5452,(918) 787-5521,wfisher@sctribe.com,http://www.sctribe.com,SAME,,,,,6/1/2013,,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,Eastern Tallgrass Prairie and Big Rivers,Intermountain,Southwest,36.6676896,-94.706852,2/23/2017 14:02
Shakopee Mdewakanton Sioux Community of Minnesota,Shakopee,,Tribe,,Charles,,Vig,,,Chairman,,Midwest,Midwest Regional Office,"2330 Sioux Trail, NW",,Prior Lake,MN,Minnesota,55372-9077,No,(952) 445-8900,(952) 445-8906,annette.krebsbach@shakopeedakota.org,http://www.shakopeedakota.org,SAME,,,,,,1/20/2020,Tribal,,,Eastern States,,Region 3 - Midwest,Eastern Tallgrass Prairie and Big Rivers,Midwest,Midwest,44.7366589,-93.4732246,7/14/2017 9:08
Shawnee Tribe,Shawnee,,Tribe,,Ron,,Sparkman,,,Chief,,Eastern Oklahoma,Miami Agency,P.O. Box 189,,Miami,OK,Oklahoma,74354,No,(918) 542-2441,(918) 542-2922,rondede@gmail.com,http://www.shawnee-tribe.com,29 South Highway 69A,,Miami,OK,74354,9/19/2015,9/21/2019,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,Eastern Tallgrass Prairie and Big Rivers,Intermountain,Southwest,36.8745146,-94.8774554,2/23/2017 14:02
Sherwood Valley Rancheria of Pomo Indians of California,Sherwood Valley,Sherwood Valley Rancheria,Tribe,,Michael,,Knight,,,Chairman,,Pacific,Central California Agency,190 Sherwood Hill Drive,,Willits,CA,California,95490,No,(707) 459-9690,(707) 459-6936,svrchair@sbcglobal.net,,SAME,,,,,,,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,39.3947823,-123.3607902,2/23/2017 14:02
"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California",Shingle Springs,Shingle Springs Rancheria,Tribe,,Regina,,Cuellar,,,Chairman,,Pacific,Central California Agency,P.O. Box 1340,,Shingle Springs,CA,California,95682,No,(530) 387-4971,(530) 387-8064,tribalchairperson@ssband.org,http://www.shinglespringsrancheria.com,5168 Honpie Road,,Placerville,CA,95667,1/20/2018,1/20/2021,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,38.687249,-120.9892566,4/24/2018 16:12
Shinnecock Indian Nation,Shinnecock,,Tribe,,Charles,K.,"Smith II; Randy King; Eugene Cuffee, II",,,Trustees,,Eastern,Eastern Regional Office,Shinnecock Indian Nation Tribal Office,P.O. Box 5006,Southampton,NY,New York,11969-5006,No,631-283-6143,631-283-0751,SiennaHunter-Cuyjet@shinnecock.org; RaymondClendenin@shinnecock.org,http://www.shinnecocknation.org,"100 Church Street, Community Center",Shinnecock Reservation,Southampton,NY,11968,4/1/2017,4/1/2019,Tribal,Elections are every 2 years,,Eastern States,,Region 5 - Northeast,,Northeast,Northeast,40.88,-72.39,6/1/2017 6:57
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation,Shoalwater,,Tribe,,Charlene,,Nelson,,,Chairperson,,Northwest,Olympic Peninsula Agency,P.O. Box 130,,Tokeland,WA,Washington,98590-0130,No,(360) 267-8101,(360) 267-6778,cnelson@shoalwaterbay-nsn.gov,http://www.shoalwaterbay-nsn.gov,2373 Old Tokeland Road,,Tokeland,WA,98590,1/13/2018,1/12/2019,Tribal,Elections are the 2nd Saturday of January each year,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,46.7064856,-123.9818347,4/10/2018 14:22
Shoshone-Bannock Tribes of the Fort Hall Reservation,Shoshone-Bannock,,Tribe,,Nathan,,Small,,,Chairman,,Northwest,Fort Hall Agency,P.O. Box 306,,Fort Hall,ID,Idaho,83203-0306,No,(208) 478-3700,(208) 237-0797,,http://www.shoshonebannocktribes.com,Agency Building 82,1 Pima Drive,Fort Hall,ID,83203,5/26/2017,5/25/2018,Tribal,,,Idaho,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,42.99,-112.46,11/15/2017 12:01
"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",Shoshone-Paiute,,Tribe,,Theodore,,Howard,,,Chairman,,Western,Eastern Nevada Agency,P.O. Box 219,,Owyhee,NV,Nevada,89832,No,(208) 759-3100,(208) 759-3103,,http://www.shopaitribes.org/spt-15/,,,,,,,,Tribal,,,Nevada,Pacific Northwest,Region 8 - Pacific Southwest,,Pacific West,Pacific,41.9665836,-116.1565875,5/2/2017 12:51
"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, SD",Sisseton-Wahpeton,,Tribe,,Dave ,,Flute,,,Chairman,,Great Plains,Sisseton Agency,P.O. Box 509,,Agency Village,SD,South Dakota,57262,No,(605) 698-3911,(605) 698-7907,chair@swtc.us,http://www.swo-nsn.gov,12554 BIA Highway 711,,Agency Village,SD,57262,11/4/2014,12/15/2016,Tribal,,,Montana/Dakotas,Great Plains,Region 6 - Mountain-Prairie,,Midwest,Midwest,45.565819,-97.0656586,2/23/2017 14:02
Skokomish Indian Tribe,Skokomish,,Tribe,,Charles,,Miller,,Guy,Chairman,,Northwest,Puget Sound Agency,80 North Tribal Center Road,,Shelton,WA,Washington,98584-9748,No,(360) 426-4232,(360) 877-5943,gmiller@skokomish.org,http://www.skokomish.org,SAME,,,,,6/10/2009,6/2/2018,Tribal,,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,47.3221601,-123.1456352,8/17/2017 13:54
Skull Valley Band of Goshute Indians of Utah,Skull Valley,,Tribe,,Candace,,Bear,,,Chairperson,,Western,Uintah & Ouray Agency,P.O. Box 448,,Grantsville,UT,Utah,84029,No,(435) 882-4532,(435) 882-4889,,,1198 N. Main Street,,Tooele,UT,84029,,,Tribal,,,Utah,Upper Colorado,Region 6 - Mountain-Prairie,,Intermountain,Southwest,40.6725315,-112.762883,2/23/2017 14:03
Snoqualmie Indian Tribe,Snoqualmie,,Tribe,,Robert,,de los Angeles,,,Chairman,,Northwest,Puget Sound Agency,P.O. Box 969,,Snoqualmie,WA,Washington,98065-0969,No,(425) 888-6551,(425) 888-6727,,http://www.snoqualmtribe.us,9571 Ethan Wade Way SE,,Snoqualmie,WA,98065,5/12/2018,5/11/2019,Tribal,,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,47.5287132,-121.8253906,5/16/2018 11:06
"Soboba Band of Luiseno Indians, California",Soboba,,Tribe,,Scott,,Cozart,,,Chairman,,Pacific,Southern California Agency,P.O. Box 487,,San Jacinto,CA,California,92581,No,(951) 654-2765,(951) 654-4198,,http://www.soboba-nsn.gov,23906 Soboba Road,,San Jacinto,CA,92583,,,Tribal,,,California,Lower Colorado,Region 8 - Pacific Southwest,California,Pacific West,Pacific,33.7729474,-116.9618653,2/23/2017 14:02
"Sokaogon Chippewa  Community, Wisconsin",Sokaogon,,Tribe,,Chris,,McGeshick,,,Chairman,,Midwest,Great Lakes Agency,3051 Sand Lake Road,,Crandon,WI,Wisconsin,54520,No,(715) 478-7500,(715) 478-5275,chris.mcgeshick@scc-nsn.gov,http://www.sokaogonchippewa.com,SAME,,,,,1/1/2017,1/1/2019,Tribal,Chairman's Assistant - Gaye Grahamgaye.graham@sc,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,45.4696236,-88.9096896,2/23/2017 14:02
Southern Ute Indian Tribe,Southern Ute,,Tribe,,Clement,J.,Frost,,,Chairman,,Southwest,Southern Ute Agency,P.O. Box 737,,Ignacio,CO,Colorado,81137,No,(970) 563-0100,(970) 563-0396,,http://www.southern-ute.nsn.us/index.html,356 Ouray Drive,,Ignacio,CO,81137,,,Tribal,,,Colorado,Upper Colorado,Region 6 - Mountain-Prairie,Southern Rockies,Intermountain,Southwest,37.1150037,-107.633113,2/23/2017 14:02
"Spirit Lake Tribe, North Dakota",Spirit Lake,,Tribe,,Myra,,Peterson,,,Chairman,,Great Plains,Fort Totten Agency,P.O. Box 359,,Fort Totten,ND,North Dakota,58335,No,(701) 766-4221,(701) 766-4126,admin@spiritlakenation.com,http://www.spiritlakenation.com,816 -  3rd Avenue North,,Fort Totten,ND,58335,5/5/2015,5/1/2018,Tribal,,,Montana/Dakotas,Great Plains,Region 6 - Mountain-Prairie,,Midwest,Midwest,47.9781379,-98.994906,2/23/2017 14:02
Spokane Tribe of the Spokane Reservation,Spokane,,Tribe,,Carol,,Evans,,,Chairwoman,,Northwest,Spokane Agency,P.O. Box 100,,Wellpinit,WA,Washington,99040-0100,No,(509) 458-6500,(509) 458-6553,carole@spokanetribe.com,http://www.spokanetribe.com,6195 Ford-Wellpinit  Road,,Wellpinit,WA,99040,6/6/2015,6/2/2018,Tribal,,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,47.8865464,-117.9881676,8/17/2017 13:55
Squaxin Island Tribe of the Squaxin Island Reservation,Squaxin,,Tribe,,Arnold,,Cooper,,,Chairman,,Northwest,Olympic Peninsula Agency,10 SE Squaxin Lane,,Shelton,WA,Washington,98584-9200,No,(360) 426-9781,(360) 426-6577,acooper@squaxin.us,http://www.squaxinisland.org,SAME,,,,,5/6/2017,5/5/2018,Tribal,,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,47.122311,-123.0798584,8/17/2017 13:57
St. Croix Chippewa Indians of Wisconsin,St. Croix,,Tribe,,Lewis,,Taylor,,,President,,Midwest,Great Lakes Agency,24663 Angeline Avenue,,Webster,WI,Wisconsin,54893,No,(715) 349-2195,(715) 349-5768,LewisT@stcroixtribalcenter.com,http://www.stcciw.com,24663 Angeline Avenue,,Webster,WI,54893,6/8/2015,6/1/2017,Tribal,Chairmans Asst - Shannon Lowe ShannonL@stcroixtribalcenter.com,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,45.8135655,-92.2074354,7/21/2017 10:35
Standing Rock Sioux Tribe of North & South Dakota,Standing Rock,,Tribe,,Dave,,Archambault,II,,Chairman,,Great Plains,Standing Rock Agency,P.O. Box D,,Fort Yates,ND,North Dakota,58538,No,(701) 854-8500,(701) 854-8595,,http://www.standingrock.org,North Standing Rock Avenue,Building 1,Fort Yates,ND,58538,9/25/2013,9/27/2017,Tribal,,,Montana/Dakotas,Great Plains,Region 6 - Mountain-Prairie,,Midwest,Midwest,46.0869408,-100.6301271,2/23/2017 14:02
Stillaguamish Tribe of Indians of Washington,Stillaguamish,,Tribe,,Shawn,E.,Yanity,,,Chairman,,Northwest,Puget Sound Agency,P.O. Box 277,,Arlington,WA,Washington,98223-0277,No,(360) 652-7362,(360) 659-3113,syanity@stillaguamish.com,http://www.stillaguamish.com,3322 236th Street NE,,Arlington,WA,98223,5/17/2014,5/19/2018,Tribal,,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,48.1987118,-122.1251418,8/21/2017 8:36
"Stockbridge Munsee Community, Wisconsin",Stockbridge,,Tribe,,Shannon,,Holsey,,,President,,Midwest,Great Lakes Agency,N8476 Mo He Con Nuck Road,,Bowler,WI,Wisconsin,54416,No,(715) 793-4111,(715) 793-1307,shannon.holsey@mohican-nsn.gov,http://www.mohican.com,SAME,,,,,10/1/2017,10/1/2019,Tribal,Presidents Asst - Jerilyn Johnson - jerilyn.johnson@mohican-nsn.gov,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,44.9041935,-88.9407272,2/23/2017 14:02
Summit Lake Paiute Tribe of Nevada,Summit Lake,,Tribe,,Randi,,DeSoto,,,Chairwoman,,Western,Western Nevada Agency,1001 N. Rock Boulevard,,Sparks,NV,Nevada,89431-4337,No,(775) 827-9670,(775) 827-9678,,,Same,,,,,,,Tribal,,,Nevada,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,39.5408871,-119.7658025,2/23/2017 14:03
Suquamish Indian Tribe of the Port Madison Reservation,Suquamish,,Tribe,,Leonard,,Forsman,,,Chairman,,Northwest,Puget Sound Agency,P.O. Box 498,,Suquamish,WA,Washington,98392-0498,No,(360) 598-3311,(360) 598-3135,lforsman@suquamish.nsn.us,http://www.suquamish.nsn.us,18490 Suquamish Way,,Suquamish,WA,98392,3/16/2014,3/16/2019,Tribal,,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,47.7307539,-122.5616207,3/29/2018 8:32
"Susanville Indian Rancheria, California",Susanville,,Tribe,,Brandon,,Gutierez,,,Chairman,,Pacific,Pacific Regional Office,745 Joaquin Street,,Susanville,CA,California,96130,No,(530) 257-6264,(530) 257-7986,jmackay@sir-nsn.gov,http://www.sir-nsn.gov,SAME,,,,,11/7/2015,11/7/2018,Tribal,Actual election date TBD.,,California,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,40.426133,-120.6571637,11/1/2017 14:57
Swinomish Indian Tribal Community,Swinomish,,Tribe,,M. Brian,,Cladoosby,,,Chairman,,Northwest,Puget Sound Agency,11404 Moorage Way,,LaConner,WA,Washington,98257-9450,No,(360) 466-3163,(360) 466-5309,bcladoosby@swinomish.nsn.us,http://www.swinomish-nsn.gov,SAME,,,,,3/16/1997,2/23/2019,Tribal,Actual date of election is determined each year.,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,48.3903186,-122.5017037,3/29/2018 8:34
Sycuan Band of the Kumeyaay Nation,Sycuan,Sycuan Reservation,Tribe,,Cody,,Martinez,,,Chairman,,Pacific,Southern California Agency,1 Kwaaypaay Court,,El Cajon,CA,California,92019,No,(619) 445-2613,(619) 445-1927,emartinez@sycuan-nsn.gov,http://www.sycuantribe.com,SAME,,,,,,,Tribal,Actual election date TBD.,,California,Lower Colorado,Region 8 - Pacific Southwest,California,Pacific West,Pacific,32.7947731,-116.9625269,2/23/2017 14:02
Table Mountain Rancheria,Table Mountain,,Tribe,,Leanne,,Walker-Grant,,,Chairperson,,Pacific,Central California Agency,P.O. Box 410,,Friant,CA,California,93626,No,(559) 822-2587,(559) 822-2693,,,23736 Sky Harbour Road,,Friant,CA,93626,1/1/2016,1/1/2020,Tribal,Actual election date TBD.,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,36.9877274,-119.7118118,4/10/2018 10:56
Tejon Indian Tribe,Tejon,,Tribe,,Octavio,,Escobedo,,,Chairperson,,Pacific,Central California Agency,1731 Hasti Acres Drive,Suite 108,Bakersfield,CA,California,93309,No,(661) 834-8566,(661) 834-8564,office@tejontribe.net,,SAME,,,,,,,Tribal,Actual election date TBD.,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,35.3387407,-119.0526652,2/23/2017 14:02
Te-Moak Tribe of Western Shoshone Indians of Nevada (Four constituent bands: Battle Mountain Band; Elko Band; South Fork Band and Wells Band),Te-Moak,,Tribe,,Davis,,Gonzales,,,Vice-Chairman,,Western,Eastern Nevada Agency,525 Sunset Street,,Elko,NV,Nevada,89801,No,(775) 738-9251,(775) 738-2345,,http://www.temoaktribe.com/,SAME,,,,,,,Tribal,,?,Nevada,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,40.8407567,-115.7738277,2/23/2017 14:03
The Chickasaw Nation,Chickasaw,,Tribe,,Bill,William,Anoatubby,,,Governor,,Eastern Oklahoma,Chickasaw Agency,P.O. Box 1548,,Ada,OK,Oklahoma,74821,No,(580) 436-2603,(580) 436-4287,tammy.gray@chickasaw.net,http://www.chickasaw.net,520 East Arlington,,Ada,OK,74820,7/28/2015,7/23/2019,Tribal,Chief Bill Anoatubby was unopposed.,,New Mexico,Great Plains,Region 2 - Southwest,Eastern Tallgrass Prairie and Big Rivers,Intermountain,Southwest,34.7733505,-96.6782477,2/23/2017 14:02
The Choctaw Nation of Oklahoma,Choctaw,,Tribe,,Gary,,Batton,,,Chief,,Eastern Oklahoma,Eastern Oklahoma Regional Office,P.O. Drawer 1210,,Durant,OK,Oklahoma,74702,No,(580) 924-8280    Toll:  (800) 522-6170,(580) 924-1150,  gbatton@choctawnation.com,http://www.choctawnation.com,324 North Washington,,Durant,OK,74702,7/11/2015,7/13/2019,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,Eastern Tallgrass Prairie and Big Rivers,Intermountain,Southwest,33.9939465,-96.3892486,2/23/2017 14:02
The Modoc Tribe of Oklahoma,Modoc,,Tribe,,Bill,Gene,Follis,,,Chief,,Eastern Oklahoma,Miami Agency,22 N. Eight Tribes Trail,,Miami,OK,Oklahoma,74354,No,(918) 542-1190,(918) 542-5415,modoctribe@cableone.net,http://www.modoctribe.net,SAME,,,,,5/3/2014,5/5/2018,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,Eastern Tallgrass Prairie and Big Rivers,Intermountain,Southwest,36.8694063,-94.8702223,6/19/2017 11:33
The Muscogee (Creek) Nation,Muscogee,,Tribe,,James ,,Floyd,,,Principal Chief,,Eastern Oklahoma,Okmulgee Agency,P.O. Box 580,,Okmulgee,OK,Oklahoma,74447,No,(918) 732-7600  Toll:  (800) 482-1979,(918) 756-2911,jfloyd@mcn-nsn.gov,http://www.themuscogeecreeknation.com,1007 East Eufaula Street,,Okmulgee,OK,74447,11/7/2015,9/21/2019,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,Eastern Tallgrass Prairie and Big Rivers,Intermountain,Southwest,35.6234367,-95.9605502,2/23/2017 14:02
The Osage Nation,Osage,,Tribe,,Geoffrey,M.,Standing Bear,,,Principal Chief,,Eastern Oklahoma,Osage Agency,P.O. Box 779,,Pawhuska,OK,Oklahoma,74056,No,(918) 287-5555,(918) 287-5562,gstandingbear@osagenation-nsn.gov,http://www.osagenation-nsn.gov,627 Grandview,,Pawhuska,OK,74056,7/5/2014,6/4/2018,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,Eastern Tallgrass Prairie and Big Rivers,Intermountain,Southwest,36.6678426,-96.3372309,2/23/2017 14:02
The Quapaw Tribe of Indians,Quapaw,,Tribe,,John,,Berrey,,,Chairman,,Eastern Oklahoma,Miami Agency,P.O. Box 765,,Quapaw,OK,Oklahoma,74363,No,(918) 542-1853,(918) 542-4694,jberrey@ogahpah.com,http://www.quapawtribe.com,5681 South 630 Road,,Quapaw,OK,74364,7/26/2014,7/28/2018,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,Eastern Tallgrass Prairie and Big Rivers,Intermountain,Southwest,36.9545117,-94.7880057,2/23/2017 14:02
The Seminole Nation of Oklahoma,Seminole of Oklahoma,,Tribe,,Gregory,Paul,Chilcoat,,,Chief,,Eastern Oklahoma,Wewoka Agency,P.O. Box 1498,,Wewoka,OK,Oklahoma,74884,No,(405) 257-7200,(405) 257-7209,chief.prin@sno-nsn.gov,http://www.sno-nsn.gov,"Intersection, North Side Highway 270",1/4 Mile East Highway 270 & 56,Wewoka,OK,74884,8/7/2017,7/10/2021,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,,Intermountain,Southwest,35.1586902,-96.4933457,8/14/2017 9:03
Thlopthlocco Tribal Town,Thlopthlocco,,Tribe,,Ryan,,Morrow,,,Interim Town King,,Eastern Oklahoma,Okmulgee Agency,P.O. Box 188,,Okemah,OK,Oklahoma,74859,No,(918) 560-6198  Toll Free:  (866) 988-8696,(918) 560-6196,rmorrow@tttown.org,http://www.tttown.us,I-40 & Clearview Exit 227,,Okemah,OK,74447,3/26/2015,,Tribal,Ryan Morrow was unanimously approved as the Interim Town King following the death of George Scott.  Tribal Town is in litigation and the next election is undetermined at this time.,,New Mexico,Great Plains,Region 2 - Southwest,,Intermountain,Southwest,35.4325854,-96.3050064,2/23/2017 14:02
"Three Affiliated Tribes of the Fort Berthold Reservation, ND",Three Affiliated,,Tribe,,Mark,,Fox,,,Chairman,,Great Plains,Fort Berthold Agency,404 Frontage Road,,New Town,ND,North Dakota,58763,No,(701) 627-4781,(701) 627-3503,markfox@mhanation.com,http://www.mhanation.com,SAME,,,,,11/4/2014,11/2/2018,Tribal,,,Montana/Dakotas,Great Plains,Region 6 - Mountain-Prairie,,Midwest,Midwest,47.9805462,-102.577224,2/23/2017 14:02
Tohono O'odham Nation of Arizona,Tohono O'odham,,Tribe,,Edward,D.,Manuel,,,Chairman,,Western,Papago Agency,P.O. Box 837,,Sells,AZ,Arizona,85634,No,(520) 383-2028,(520) 383-3379,,http://www.tonation-nsn.gov,Tohono O'odham Nation,Main Tribal Business Loop,Sells,AZ,85634,,,Tribal,,,Arizona,Lower Colorado,Region 2 - Southwest,,Intermountain,Southwest,31.9330938,-111.8937481,2/23/2017 14:03
Tolowa Dee-ni' Nation,Tolowa Dee-ni',Smith River Rancheria,Tribe,,Scott,,Sullivan,,,Chairperson,,Pacific,Pacific Regional Office,140 Rowdy Creek Road,,Smith River,CA,California,95567,No,(707) 487-9255,(707) 487-0930,Briannon.Fraley@tolowa.com,http://www.tolowa-nsn.gov,SAME,,,,,5/20/2017,5/20/2020,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,41.9300469,-124.1415828,4/10/2018 10:57
Tonawanda Band of Seneca,Tonawanda,,Tribe,,Roger,,Hill,,,Chief,,Eastern,Eastern Regional Office,7027 Meadville Road,,Basom,NY,New York,14013,No,(716) 542-4244,(716) 542-4008,,,SAME,,,,,,,Tribal,"
Elections every 2 years - next election is in 20",,Eastern States,,Region 5 - Northeast,,Northeast,Northeast,43.0734027,-78.4439601,2/23/2017 14:02
Tonkawa Tribe of Indians of Oklahoma,Tonkawa,,Tribe,,Russell,,Martin,,,President,,Southern Plains,Pawnee Agency,1 Rush Buffalo Road,,Tonkawa,OK,Oklahoma,74653-4449,No,(580) 628-2561,(580) 628-3375,rmartin@tonkawatribe.org,http://www.tonkawatribe.com,SAME,,,,,4/6/2017,4/3/2019,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,,Intermountain,Southwest,36.6783679,-97.3100441,10/20/2017 5:50
Tonto Apache Tribe of Arizona,Tonto Apache,,Tribe,,Jeri,,DeCola,,,Chairwoman,,Western,Truxton Canon Agency,Tonto Apache Reservation #30,,Payson,AZ,Arizona,85541,No,(928) 474-5000,(928) 474-9125,,,SAME,,,,,,,Tribal,,,Arizona,Lower Colorado,Region 2 - Southwest,,Intermountain,Southwest,34.2295968,-111.3270273,2/23/2017 14:03
"Torres Martinez Desert Cahuilla Indians, California",Torres Martinez,Torres-Martinez Band of Cahuilla Mission Indians of California; Torres Martinez Reservation,Tribe,,Mary,,Resvaloso,,,Chairperson,,Pacific,Southern California Agency,P.O. Box 1160,,Thermal,CA,California,92274,No,(760) 397-0300,(760) 397-8300,,http://www.torresmartinez.org,66725 Martinez Road,,Thermal,CA,92274,12/1/2012,12/1/2016,Tribal,Actual election date TBD.l,,California,Lower Colorado,Region 8 - Pacific Southwest,,Pacific West,Pacific,33.6402638,-116.1422353,2/23/2017 14:02
